course,unit,node_id,cluster,theme,learning_objective,statement,classification,date,historical_development
APUSH,5,c_Gt5Y,Government Policies During the Civil War,NAT,Explain how Lincoln's leadership during the Civil War impacted American ideals over the course of the war.,"Abraham Lincoln delivered the Gettysburg Address on November 19, 1863, redefining the Civil War as a struggle to preserve a nation dedicated to the principles of liberty and equality.",essential,"November 19, 1863",Lincoln sought to reunify the country and used speeches such as the Gettysburg Address to portray the struggle against slavery as the fulfillment of America's founding democratic ideals.
APUSH,5,c_HfrE,The Compromise of 1850,PCE,Explain the similarities and differences in how regional attitudes affected federal policy in the period after the Mexican–American War.,"Lewis Cass proposed the doctrine of popular sovereignty, allowing settlers in each new territory to vote on whether to allow slavery, a concept that attempted to offer a compromise but ultimately failed to resolve the conflict.",essential,1848,"The courts and national leaders made a variety of attempts to resolve the issue of slavery in the territories, including the Compromise of 1850."
APUSH,5,c_INNa,Failure of Compromise,PCE,Explain the political causes of the Civil War.,"Lincoln's 'House Divided' speech declared that the nation could not endure permanently half-slave and half-free, reflecting the deepening sectional divide over slavery.",essential,1858,"The Second Party System ended when the issues of slavery and anti-immigrant nativism weakened loyalties to the two major parties and fostered the emergence of sectional parties, most notably the Republican Party in the North."
APUSH,5,c_Is7Y,Government Policies During the Civil War,PCE,Explain how Lincoln's leadership during the Civil War impacted American ideals over the course of the war.,"The First Confiscation Act of August 1861 authorized Union forces to seize Confederate property, including enslaved people, marking an early move toward emancipation.",essential,August 1861,"Lincoln and most Union supporters began the Civil War to preserve the Union, but Lincoln's decision to issue the Emancipation Proclamation reframed the purpose of the war and helped prevent the Confederacy from gaining full diplomatic support from European powers. Many African Americans fled southern plantations and enlisted in the Union Army, helping to undermine the Confederacy."
APUSH,5,c_JZ50,Government Policies During the Civil War,SOC,Explain how Lincoln's leadership during the Civil War impacted American ideals over the course of the war.,"Approximately 200,000 African Americans served in the Union Army and Navy after the Emancipation Proclamation, significantly contributing to Union victory despite facing discrimination and challenging conditions.",essential,1863-1865,"Lincoln and most Union supporters began the Civil War to preserve the Union, but Lincoln's decision to issue the Emancipation Proclamation reframed the purpose of the war and helped prevent the Confederacy from gaining full diplomatic support from European powers. Many African Americans fled southern plantations and enlisted in the Union Army, helping to undermine the Confederacy."
APUSH,5,c_KWZI,Failure of Reconstruction,SOC,Explain how and why Reconstruction resulted in continuity and change in regional and national understandings of what it meant to be American.,"White Southerners created societal conditions replicating aspects of pre-Civil War slavery and segregation, including the convict leasing system that allowed prisoners to be used as forced labor, and prohibiting Black testimony against whites in court.",essential,1865-1900,"Segregation, violence, Supreme Court decisions, and local political tactics progressively stripped away African American rights, but the 14th and 15th amendments eventually became the basis for court decisions upholding civil rights in the 20th century"
APUSH,5,c_KYOx,Manifest Destiny,MIG,Explain the causes and effects of westward expansion from 1844 to 1877.,"The Oregon Trail, established in the 1830s, was a 2,000-mile route settlers used to migrate west, typically traveling in wagon trains, taking about six months to traverse from Independence to Oregon Territory.",essential,1830s,The desire for access to natural and mineral resources and the hope of many settlers for economic opportunities or religious refuge led to an increased migration to and settlement in the West.
APUSH,5,c_L8SN,Reconstruction,PCE,Explain the effects of government policy during Reconstruction on society from 1865 to 1877.,"During Reconstruction, African Americans experienced unprecedented political participation and representation, with individuals like Hiram Revels and Blanche K. Bruce serving as U.S. Senators, though they faced strong opposition from white Southerners.",essential,1865-1877,"Efforts by radical and moderate Republicans to change the balance of power between Congress and the presidency and to reorder race relations in the defeated South yielded some short-term successes. Reconstruction opened up political opportunities and other leadership roles to former slaves, but it ultimately failed, due both to determined Southern resistance and the North's waning resolve."
APUSH,5,c_MFJ3,The Compromise of 1850,PCE,Explain the similarities and differences in how regional attitudes affected federal policy in the period after the Mexican–American War.,"President Zachary Taylor initially opposed the Compromise of 1850 and threatened to use military force against Texas in the boundary dispute, but his death in July 1850 removed a major obstacle to the compromise's passage.",essential,1850,"The courts and national leaders made a variety of attempts to resolve the issue of slavery in the territories, including the Compromise of 1850."
APUSH,5,c_MVCR,Election of 1860 and Secession,PCE,Describe the effects of Lincoln's election.,"The Crittenden Compromise, proposed by Senator John J. Crittenden, sought to prevent civil war by extending the Missouri Compromise line to California and protecting existing slavery; Lincoln rejected it as it contradicted Republican opposition to slavery expansion.",essential,1860-1861,"Abraham Lincoln's victory on the Republicans' free-soil platform in the presidential election of 1860 was accomplished without any Southern electoral votes. After a series of contested debates about secession, most slave states voted to secede from the Union, precipitating the Civil War"
APUSH,5,c_NL66,Failure of Compromise,PCE,Explain the political causes of the Civil War.,"The Kansas-Nebraska Act of 1854 allowed settlers in those territories to decide on slavery through popular sovereignty, effectively repealing the Missouri Compromise and leading to increased sectional tensions and violence in Kansas.",essential,1854,"The courts and national leaders made a variety of attempts to resolve the issue of slavery in the territories, including the Kansas-Nebraska Act, and the Dred Scott decision, but these ultimately failed to reduce conflict."
APUSH,5,c_NMy4,The Mexican–American War,GEO,Explain the causes and effects of the Mexican–American War.,"The Mexican-American War resulted in the Mexican Cession, where Mexico ceded California, Nevada, Utah, Arizona, New Mexico, and parts of Colorado to the United States, adding approximately 525,000 square miles of territory.",essential,1848,"The United States added large territories in the West through victory in the Mexican-American War and diplomatic negotiations, raising questions about the status of slavery, American Indians, and Mexicans in the newly acquired lands."
APUSH,5,c_NR4h,Election of 1860 and Secession,PCE,Describe the effects of Lincoln's election.,"Lincoln's election in 1860 triggered the immediate secession of seven Deep South states between December 1860 and February 1861, as Southern states viewed his victory as a direct threat to slavery and their way of life.",essential,December 1860 - February 1861,"Abraham Lincoln's victory on the Republicans' free-soil platform in the presidential election of 1860 was accomplished without any Southern electoral votes. After a series of contested debates about secession, most slave states voted to secede from the Union, precipitating the Civil War"
APUSH,5,c_OQwv,Election of 1860 and Secession,NAT,Describe the effects of Lincoln's election.,"Confederate leaders, such as Vice President Alexander Stephens in his Cornerstone Speech, declared white supremacy and the protection of slavery as foundational to the Confederacy.",essential,1861,"Abraham Lincoln's victory on the Republicans' free-soil platform in the presidential election of 1860 was accomplished without any Southern electoral votes. After a series of contested debates about secession, most slave states voted to secede from the Union, precipitating the Civil War"
APUSH,5,c_PYdm,Failure of Reconstruction,PCE,Explain how and why Reconstruction resulted in continuity and change in regional and national understandings of what it meant to be American.,"The Compromise of 1877, which resolved the contested election between Republican Rutherford B. Hayes and Democrat Samuel J. Tilden, ended Reconstruction when Democrats conceded the presidency to Hayes in exchange for the withdrawal of federal troops from the South.",essential,1877,"Segregation, violence, Supreme Court decisions, and local political tactics progressively stripped away African American rights, but the 14th and 15th amendments eventually became the basis for court decisions upholding civil rights in the 20th century"
APUSH,5,c_QEb7,The Compromise of 1850,PCE,Explain the similarities and differences in how regional attitudes affected federal policy in the period after the Mexican–American War.,"The debate over slavery in new territories after the Mexican–American War demonstrated the growing difficulty of maintaining sectional compromise in an expanding nation, as fundamental disagreements proved incompatible.",essential,1846-1850,The Mexican Cession led to heated controversies over whether to allow slavery in the newly acquired territories.
APUSH,5,c_QPdv,Government Policies During the Civil War,WXT,Explain how Lincoln's leadership during the Civil War impacted American ideals over the course of the war.,"Wartime financial measures like the Legal Tender Act of 1862 introduced 'greenbacks,' paper currency not backed by gold, to finance the Union war effort, expanding the federal government's economic power.",essential,1862,
APUSH,5,c_Qf9W,Election of 1860 and Secession,PCE,Describe the effects of Lincoln's election.,"The Confederate States of America was formed in February 1861 in Montgomery, Alabama, by the seven seceded Deep South states, electing Jefferson Davis as president.",essential,February 1861,"Abraham Lincoln's victory on the Republicans' free-soil platform in the presidential election of 1860 was accomplished without any Southern electoral votes. After a series of contested debates about secession, most slave states voted to secede from the Union, precipitating the Civil War"
APUSH,5,c_RTkc,The Compromise of 1850,PCE,Explain the similarities and differences in how regional attitudes affected federal policy in the period after the Mexican–American War.,"In the election of 1848, Whig candidate Zachary Taylor defeated Democrat Lewis Cass and Free-Soil candidate Martin Van Buren in a campaign that highlighted growing sectional divisions over slavery in the territories acquired from Mexico.",essential,1848,"The courts and national leaders made a variety of attempts to resolve the issue of slavery in the territories, including the Compromise of 1850."
APUSH,5,c_RVOg,The Mexican–American War,WOR,Explain the causes and effects of the Mexican–American War.,"General Winfield Scott led a successful military campaign from Veracruz to Mexico City in 1847, capturing the Mexican capital and forcing Mexico to negotiate peace.",essential,1847,"The United States added large territories in the West through victory in the Mexican-American War and diplomatic negotiations, raising questions about the status of slavery, American Indians, and Mexicans in the newly acquired lands."
APUSH,5,c_TJFF,Manifest Destiny,PCE,Explain the causes and effects of westward expansion from 1844 to 1877.,"Opponents of expansion feared it would lead to the spread of slavery into western territories, intensifying sectional political tensions.",essential,1840s-1850s,
APUSH,5,c_U669,Election of 1860 and Secession,PCE,Describe the effects of Lincoln's election.,"Abraham Lincoln won the 1860 presidential election without any Southern electoral votes, securing 180 electoral votes and 39.8% of the popular vote, demonstrating the North's political dominance and intensifying Southern fears.",essential,1860,"Abraham Lincoln's victory on the Republicans' free-soil platform in the presidential election of 1860 was accomplished without any Southern electoral votes. After a series of contested debates about secession, most slave states voted to secede from the Union, precipitating the Civil War"
APUSH,5,c_USFB,Military Conflict in the Civil War,WXT,Explain the various factors that contributed to the Union victory in the Civil War.,"Despite initial military successes, the Confederacy was hindered by severe economic challenges, including hyperinflation and resource shortages, which undermined their war effort.",essential,1861-1865,"Although the Confederacy showed military initiative and daring early in the war, the Union ultimately succeeded due to improvements in leadership and strategy, key victories, greater resources, and the wartime destruction of the South's infrastructure."
APUSH,5,c_UojD,The Mexican–American War,NAT,Explain the causes and effects of the Mexican–American War.,"In 1846, American settlers in California's Sacramento Valley, supported by John C. Frémont's military forces, established the Bear Flag Republic, leading to U.S. control of California during the war.",essential,1846,"The United States added large territories in the West through victory in the Mexican-American War and diplomatic negotiations, raising questions about the status of slavery, American Indians, and Mexicans in the newly acquired lands."
APUSH,5,c_Vfee,Military Conflict in the Civil War,PCE,Explain the various factors that contributed to the Union victory in the Civil War.,"The Union's victory in the Civil War was due to multiple factors, including greater industrial capacity, a larger population, effective military leadership under generals like Ulysses S. Grant and William Tecumseh Sherman, and strategic initiatives such as the Anaconda Plan, which aimed to blockade Southern ports and control the Mississippi River, splitting the Confederacy.",essential,1861-1865,"Although the Confederacy showed military initiative and daring early in the war, the Union ultimately succeeded due to improvements in leadership and strategy, key victories, greater resources, and the wartime destruction of the South's infrastructure."
APUSH,5,c_Vwpv,Comparison in the Period 5,PCE,Compare the relative significance of the effects of the Civil War on American values.,"During Reconstruction from 1865 to 1877, President Andrew Johnson favored lenient readmission of Confederate states while Radical Republicans demanded stricter conditions and stronger protections for formerly enslaved people.",essential,1865 to 1877,"Reconstruction and the Civil War ended slavery, altered relationships between the states and the federal government, and led to debates over new definitions of citizenship, particularly regarding the rights of African Americans, women, and other minorities."
APUSH,5,c_WZwG,Failure of Reconstruction,SOC,Explain how and why Reconstruction resulted in continuity and change in regional and national understandings of what it meant to be American.,"Despite the abolition of slavery, only a small percentage of Southern African Americans owned land by 1880, as lack of land redistribution during Reconstruction prevented many from achieving economic independence.",essential,1880,"Southern plantation owners continued to own the majority of the region's land even after Reconstruction. Former slaves sought land ownership but generally fell short of self-sufficiency, as an exploitative and soil-intensive sharecropping system limited blacks' and poor whites' access to land in the South."
APUSH,5,c_YUHM,Election of 1860 and Secession,PCE,Describe the effects of Lincoln's election.,"The Civil War began when Confederate forces fired on Fort Sumter, a federal fort in South Carolina, on April 12, 1861, prompting four more Upper South states to secede.",essential,"April 12, 1861","Abraham Lincoln's victory on the Republicans' free-soil platform in the presidential election of 1860 was accomplished without any Southern electoral votes. After a series of contested debates about secession, most slave states voted to secede from the Union, precipitating the Civil War"
APUSH,5,c_Yolw,The Compromise of 1850,PCE,Explain the similarities and differences in how regional attitudes affected federal policy in the period after the Mexican–American War.,"The Free-Soil Party, formed in 1848, opposed the expansion of slavery into western territories because they wanted to preserve job opportunities for white laborers, promoting free land and free labor while not fully supporting abolition.",supporting,1848,The Mexican Cession led to heated controversies over whether to allow slavery in the newly acquired territories.
APUSH,5,c_aGX6,Reconstruction,PCE,Explain the effects of government policy during Reconstruction on society from 1865 to 1877.,"Southern states enacted Black Codes during Reconstruction to restrict African American rights, including limitations on land ownership, legal testimony, freedom of movement, and requirements for labor contracts.",supporting,1865-1866,"Reconstruction altered relationships between the states and the federal government and led to debates over new definitions of citizenship, particularly regarding the rights of African Americans, women, and other minorities."
APUSH,5,c_aeu1,Reconstruction,SOC,Explain the effects of government policy during Reconstruction on society from 1865 to 1877.,"The Freedmen's Bureau, established in 1865, provided food, shelter, medical aid, legal assistance, and education to formerly enslaved people and destitute whites, helping establish nearly 3,000 schools including institutions like Fisk and Howard Universities.",essential,1865,"Efforts by radical and moderate Republicans to change the balance of power between Congress and the presidency and to reorder race relations in the defeated South yielded some short-term successes. Reconstruction opened up political opportunities and other leadership roles to former slaves, but it ultimately failed, due both to determined Southern resistance and the North's waning resolve."
APUSH,5,c_byhz,Government Policies During the Civil War,PCE,Explain how Lincoln's leadership during the Civil War impacted American ideals over the course of the war.,"Lincoln suspended the writ of habeas corpus during the Civil War, allowing for the arrest and detention of individuals without trial, expanding executive power but provoking controversy over civil liberties.",essential,1861-1865,
APUSH,5,c_cqv9,Manifest Destiny,WOR,Explain the causes and effects of westward expansion from 1844 to 1877.,"The United States expanded its trade interests in Asia through the 1854 Kanagawa Treaty, which forced Japan to end its 220-year policy of isolation and open two ports to American vessels.",essential,1853-1854,"U.S. interest in expanding trade led to economic, diplomatic, and cultural initiatives to create more ties with Asia."
APUSH,5,c_eACA,Reconstruction,SOC,Explain the effects of government policy during Reconstruction on society from 1865 to 1877.,"African Americans prioritized education after emancipation, establishing independent schools and hiring Black teachers despite limited resources; Black school enrollment increased dramatically from 2% in 1850 to 34% in 1880.",essential,1850-1880,"Efforts by radical and moderate Republicans to change the balance of power between Congress and the presidency and to reorder race relations in the defeated South yielded some short-term successes. Reconstruction opened up political opportunities and other leadership roles to former slaves, but it ultimately failed, due both to determined Southern resistance and the North's waning resolve."
APUSH,5,c_eMkr,Military Conflict in the Civil War,PCE,Explain the various factors that contributed to the Union victory in the Civil War.,"The Battle of Antietam in September 1862 was the bloodiest single day of the Civil War, with over 22,000 casualties; it halted Lee's invasion of the North.",essential,September 1862,"Although the Confederacy showed military initiative and daring early in the war, the Union ultimately succeeded due to improvements in leadership and strategy, key victories, greater resources, and the wartime destruction of the South's infrastructure."
APUSH,5,c_eVfG,The Compromise of 1850,PCE,Explain the similarities and differences in how regional attitudes affected federal policy in the period after the Mexican–American War.,"The admission of California as a free state under the Compromise of 1850 disrupted the balance between free and slave states in the Senate, alarming Southern leaders who viewed it as a threat to slavery's future and prompting some to threaten secession.",essential,1850,"The courts and national leaders made a variety of attempts to resolve the issue of slavery in the territories, including the Compromise of 1850."
APUSH,5,c_ejxA,Reconstruction,PCE,Explain the effects of government policy during Reconstruction on society from 1865 to 1877,"President Andrew Johnson's lenient Reconstruction policies offered pardons to Confederates who took a loyalty oath, but his liberal use of pardons allowed former Confederates to return to power; his opposition to civil rights legislation and frequent vetoes led Congress to override him and pass the Reconstruction Acts of 1867, ultimately leading to his impeachment in 1868.",essential,1865-1868,"Efforts by radical and moderate Republicans to change the balance of power between Congress and the presidency and to reorder race relations in the defeated South yielded some short-term successes. Reconstruction opened up political opportunities and other leadership roles to former slaves, but it ultimately failed, due both to determined Southern resistance and the North's waning resolve."
APUSH,5,c_esuS,Election of 1860 and Secession,PCE,Describe the effects of Lincoln's election.,"The border states of Maryland, Kentucky, Missouri, and Delaware remained in the Union despite being slave states, largely due to Lincoln's strategic political and military decisions, which prevented them from joining the Confederacy.",essential,1861,"Abraham Lincoln's victory on the Republicans' free-soil platform in the presidential election of 1860 was accomplished without any Southern electoral votes. After a series of contested debates about secession, most slave states voted to secede from the Union, precipitating the Civil War"
APUSH,5,c_f5k8,Reconstruction,PCE,Explain the effects of government policy during Reconstruction on society from 1865 to 1877.,"Reconstruction governments in the South created public schools and social institutions like orphanages, promoted industrial development, and reformed state constitutions to eliminate property requirements for voting, although they faced opposition and were often criticized by conservatives.",essential,1865-1877,"Efforts by radical and moderate Republicans to change the balance of power between Congress and the presidency and to reorder race relations in the defeated South yielded some short-term successes. Reconstruction opened up political opportunities and other leadership roles to former slaves, but it ultimately failed, due both to determined Southern resistance and the North's waning resolve."
APUSH,5,c_fJtB,Manifest Destiny,WXT,Explain the causes and effects of westward expansion from 1844 to 1877.,"The completion of the Transcontinental Railroad in 1869 connected the East and West coasts, facilitating western settlement, economic integration, and transforming national commerce and transportation.",essential,1869,Westward migration was boosted during and after the Civil War by the passage of new legislation promoting western transportation and economic development.
APUSH,5,c_gdkj,Reconstruction,NAT,Explain the effects of government policy during Reconstruction on society from 1865 to 1877.,"The Fourteenth Amendment, ratified in 1868, granted citizenship to all persons born or naturalized in the United States, required states to provide equal protection and due process of law, and aimed to counteract the Black Codes and the Dred Scott decision.",essential,1868,"The 13th Amendment abolished slavery, while the 14th and 15th amendments granted African Americans citizenship, equal protection under the laws, and voting rights."
APUSH,5,c_goQS,Government Policies During the Civil War,GEO,Explain how Lincoln's leadership during the Civil War impacted American ideals over the course of the war.,"The Homestead Act of 1862 provided 160 acres of free public land in the West to settlers who would farm it for five years, encouraging westward expansion during the Civil War.",essential,1862,
APUSH,5,c_gz8a,The Mexican–American War,PCE,Explain the causes and effects of the Mexican–American War.,"On May 13, 1846, the U.S. Congress declared war on Mexico following President Polk's request, marking the beginning of the Mexican-American War despite significant opposition.",essential,"May 13, 1846","The United States added large territories in the West through victory in the Mexican-American War and diplomatic negotiations, raising questions about the status of slavery, American Indians, and Mexicans in the newly acquired lands."
APUSH,5,c_jFim,Military Conflict in the Civil War,PCE,Explain the various factors that contributed to the Union victory in the Civil War.,"Union General William Sherman's destructive military campaign from Atlanta to Savannah devastated Georgia's civilian infrastructure and resources in late 1864, demonstrating the Union's overwhelming power and helping break the Confederate will to fight.",essential,late 1864,"Although the Confederacy showed military initiative and daring early in the war, the Union ultimately succeeded due to improvements in leadership and strategy, key victories, greater resources, and the wartime destruction of the South's infrastructure."
APUSH,5,c_kFte,Reconstruction,ARC,Explain the effects of government policy during Reconstruction on society from 1865 to 1877.,"Black churches, such as the Negro Baptist and African Methodist Episcopal churches, became centers of community life for African Americans during Reconstruction, providing autonomy and leadership opportunities.",essential,1865-1877,"Efforts by radical and moderate Republicans to change the balance of power between Congress and the presidency and to reorder race relations in the defeated South yielded some short-term successes. Reconstruction opened up political opportunities and other leadership roles to former slaves, but it ultimately failed, due both to determined Southern resistance and the North's waning resolve."
APUSH,5,c_lHqZ,The Compromise of 1850,PCE,Explain the similarities and differences in how regional attitudes affected federal policy in the period after the Mexican–American War.,"Despite temporarily preserving the Union, the Compromise of 1850 failed to resolve fundamental disagreements over slavery and states' rights, as both Northern and Southern factions defied its provisions and continued to clash.",essential,1850,"The courts and national leaders made a variety of attempts to resolve the issue of slavery in the territories, including the Compromise of 1850."
APUSH,5,c_mNfH,The Compromise of 1850,PCE,Explain the similarities and differences in how regional attitudes affected federal policy in the period after the Mexican–American War.,"Southern leaders believed they had a constitutional right to take enslaved people into new territories and viewed any restriction on slavery's expansion as a violation of their rights, heightening sectional tensions.",essential,1850s,The Mexican Cession led to heated controversies over whether to allow slavery in the newly acquired territories.
APUSH,5,c_mnzo,Reconstruction,PCE,Explain the effects of government policy during Reconstruction on society from 1865 to 1877.,"The Reconstruction Acts of 1867, passed over President Johnson's vetoes, divided the South into five military districts under Union Army control, required Southern states to ratify the Fourteenth Amendment, and mandated universal male suffrage in their new state constitutions.",essential,1867,"Efforts by radical and moderate Republicans to change the balance of power between Congress and the presidency and to reorder race relations in the defeated South yielded some short-term successes. Reconstruction opened up political opportunities and other leadership roles to former slaves, but it ultimately failed, due both to determined Southern resistance and the North's waning resolve."
APUSH,5,c_nVBw,Sectional Conflict: Regional Differences,MIG,Explain the effects of immigration from various parts of the world on American culture from 1844 to 1877.,"Irish immigrants, often arriving with few skills due to the Potato Famine, settled in Northeastern cities like Boston and New York, forming tight-knit communities and facing severe poverty, while German immigrants with farming skills and modest means settled in the Midwest, establishing successful agricultural communities.",supporting,1840s-1850s,"Substantial numbers of international migrants continued to arrive in the United States from Europe and Asia, mainly from Ireland and Germany, often settling in ethnic communities where they could preserve elements of their languages and customs."
APUSH,5,c_nlqk,Failure of Compromise,PCE,Explain the political causes of the Civil War.,"The Lincoln-Douglas debates of 1858 highlighted fundamental disagreements over slavery's expansion, popular sovereignty, and the implications of the Dred Scott decision, bringing Abraham Lincoln national recognition despite losing the Senate race.",essential,1858,"The courts and national leaders made a variety of attempts to resolve the issue of slavery in the territories, including the Kansas-Nebraska Act, and the Dred Scott decision, but these ultimately failed to reduce conflict."
APUSH,5,c_nv0N,Reconstruction,PCE,Explain the effects of government policy during Reconstruction on society from 1865 to 1877.,"The Fifteenth Amendment, ratified in 1870, prohibited denying voting rights based on race, color, or previous condition of servitude, though it did not prevent other discriminatory voting restrictions.",essential,1870,"The 13th Amendment abolished slavery, while the 14th and 15th amendments granted African Americans citizenship, equal protection under the laws, and voting rights."
APUSH,5,c_nyBU,Failure of Compromise,PCE,Explain the political causes of the Civil War.,"Bleeding Kansas was a period of violent conflict between pro-slavery and anti-slavery settlers in the Kansas Territory from 1855 to 1859, demonstrating the failure of popular sovereignty to resolve the slavery issue peacefully.",essential,1855 to 1859,"The courts and national leaders made a variety of attempts to resolve the issue of slavery in the territories, including the Kansas-Nebraska Act, and the Dred Scott decision, but these ultimately failed to reduce conflict."
APUSH,5,c_oKJF,Failure of Reconstruction,SOC,Explain how and why Reconstruction resulted in continuity and change in regional and national understandings of what it meant to be American.,"White supremacist organizations like the Ku Klux Klan, founded in 1867 by Nathan Bedford Forrest, used violence, intimidation, and murder to suppress African American civil rights and political participation during Reconstruction.",essential,1867-1877,"Segregation, violence, Supreme Court decisions, and local political tactics progressively stripped away African American rights, but the 14th and 15th amendments eventually became the basis for court decisions upholding civil rights in the 20th century"
APUSH,5,c_osBp,Government Policies During the Civil War,WXT,Explain how Lincoln's leadership during the Civil War impacted American ideals over the course of the war.,"The Pacific Railway Act of 1862 authorized the construction of a transcontinental railroad, facilitating transportation and economic growth by connecting the Eastern and Western United States.",essential,1862,
APUSH,5,c_pBNz,Comparison in the Period 5,WXT,Compare the relative significance of the effects of the Civil War on American values.,"The Union entered the Civil War with two-thirds of the population, two-thirds of railroad mileage, and 90 percent of industrial output, while the Confederacy possessed mainly agricultural wealth and military tradition.",essential,1861,"The North's greater manpower and industrial resources, the leadership of Abraham Lincoln and others, and the decision to emancipate slaves eventually led to the Union military victory over the Confederacy in the devastating Civil War."
APUSH,5,c_pYbS,Government Policies During the Civil War,PCE,Explain how Lincoln's leadership during the Civil War impacted American ideals over the course of the war.,"The Emancipation Proclamation, issued by President Abraham Lincoln on January 1, 1863, declared that all enslaved people in Confederate-held territories were free, reframing the Civil War as a fight against slavery.",essential,"January 1, 1863","Lincoln and most Union supporters began the Civil War to preserve the Union, but Lincoln's decision to issue the Emancipation Proclamation reframed the purpose of the war and helped prevent the Confederacy from gaining full diplomatic support from European powers."
APUSH,5,c_qIp4,Comparison in the Period 5,PCE,Compare the relative significance of the effects of the Civil War on American values.,"Northern Republicans promoted federal protections for equal rights through the 13th, 14th, and 15th Amendments while Southern states undermined these constitutional provisions through Black Codes and White supremacist practices.",essential,1865-1877,"Reconstruction and the Civil War ended slavery, altered relationships between the states and the federal government, and led to debates over new definitions of citizenship, particularly regarding the rights of African Americans, women, and other minorities."
APUSH,5,c_sY2l,Sectional Conflict: Regional Differences,SOC,Explain how regional differences related to slavery caused tension in the years leading up to the Civil War,"Key abolitionist figures like Frederick Douglass, a formerly enslaved person who became a leading orator and writer, and Harriet Tubman, who conducted numerous missions to rescue enslaved people, played crucial roles in advocating for immediate emancipation and assisting escapes through the Underground Railroad.",essential,1840s-1850s,"African American and white abolitionists, although a minority in the North, mounted a highly visible campaign against slavery, presenting moral arguments against the institution, assisting slaves' escapes, and sometimes expressing a willingness to use violence to achieve their goals."
APUSH,5,c_smBm,Manifest Destiny,WOR,Explain the causes and effects of westward expansion from 1844 to 1877.,Polk's administration settled the Oregon boundary dispute with Britain at the 49th parallel in 1846 to avoid fighting two wars simultaneously.,essential,1846,Advocates of annexing western lands argued that Manifest Destiny and the superiority of American institutions compelled the United States to expand its borders westward to the Pacific Ocean.
APUSH,5,c_uRPt,Failure of Compromise,PCE,Explain the political causes of the Civil War.,"The Republican Party was founded in 1854 in response to the Kansas-Nebraska Act, opposing the expansion of slavery into western territories but not advocating for immediate abolition where it already existed.",essential,1854,"The Second Party System ended when the issues of slavery and anti-immigrant nativism weakened loyalties to the two major parties and fostered the emergence of sectional parties, most notably the Republican Party in the North."
APUSH,5,c_uSYR,Government Policies During the Civil War,PCE,Explain how Lincoln's leadership during the Civil War impacted American ideals over the course of the war.,"Following the Union victory at the Battle of Antietam in September 1862, Lincoln issued the preliminary Emancipation Proclamation, citing his authority as Commander in Chief.",essential,September 1862,"Lincoln and most Union supporters began the Civil War to preserve the Union, but Lincoln's decision to issue the Emancipation Proclamation reframed the purpose of the war and helped prevent the Confederacy from gaining full diplomatic support from European powers. Many African Americans fled southern plantations and enlisted in the Union Army, helping to undermine the Confederacy."
APUSH,5,c_wv8e,Comparison in the Period 5,MIG,Compare the relative significance of the effects of the Civil War on American values.,"During the 1840s and 1850s, Northerners saw westward expansion as an opportunity for free labor and immigration while Southerners viewed it as a means to extend slavery into new territories.",essential,1840s and 1850s,Ideological and economic differences over slavery produced an array of diverging responses from Americans in the North and the South.
APUSH,5,c_xPz3,Failure of Compromise,PCE,Explain the political causes of the Civil War.,"The Dred Scott v. Sandford Supreme Court decision of 1857 ruled that African Americans were not U.S. citizens and that Congress had no authority to prohibit slavery in the territories, effectively nullifying the Missouri Compromise and intensifying sectional tensions.",essential,1857,"The courts and national leaders made a variety of attempts to resolve the issue of slavery in the territories, including the Kansas-Nebraska Act, and the Dred Scott decision, but these ultimately failed to reduce conflict."
APUSH,5,c_xYaa,Comparison in the Period 5,PCE,Compare the relative significance of the effects of the Civil War on American values.,"Although Northerners fought primarily to preserve the Union and Southerners asserted they were fighting for states' rights, slavery was the underlying cause of the Civil War; Southern states used states' rights arguments to defend slavery before the war and to resist federal authority during Reconstruction.",essential,1861-1877,"Reconstruction and the Civil War ended slavery, altered relationships between the states and the federal government, and led to debates over new definitions of citizenship, particularly regarding the rights of African Americans, women, and other minorities."
APUSH,5,c_yzr6,Military Conflict in the Civil War,PCE,Explain the various factors that contributed to the Union victory in the Civil War.,"Union victories in 1864, such as Sherman's capture of Atlanta, boosted Northern morale and helped secure President Abraham Lincoln's reelection, ensuring the continuation of aggressive war strategies.",essential,1864,"Although the Confederacy showed military initiative and daring early in the war, the Union ultimately succeeded due to improvements in leadership and strategy, key victories, greater resources, and the wartime destruction of the South's infrastructure."
APUSH,5,s_072n,Failure of Compromise,PCE,Explain the political causes of the Civil War.,"The Lecompton Constitution of 1857 was a proslavery state constitution for Kansas submitted by the Southern legislature that President Buchanan supported despite knowing it lacked majority support, and it was rejected by Congress when many Democrats joined Republicans in opposition.",supporting,1857,"The courts and national leaders made a variety of attempts to resolve the issue of slavery in the territories, including the Kansas-Nebraska Act, and the Dred Scott decision, but these ultimately failed to reduce conflict."
APUSH,5,s_39ld,Failure of Compromise,PCE,Explain the political causes of the Civil War.,"The Freeport Doctrine was Douglas's controversial argument during the Lincoln-Douglas debates that local territories could effectively reject slavery by refusing to pass laws protecting it, even if the Dred Scott decision had declared slavery legal in all territories.",supporting,1858,"The courts and national leaders made a variety of attempts to resolve the issue of slavery in the territories, including the Kansas-Nebraska Act, and the Dred Scott decision, but these ultimately failed to reduce conflict."
